text,label
Government announces free laptops to all citizens from next month,FAKE
Scientists confirm drinking hot water cures all diseases,FAKE
PM declares all exams cancelled permanently,FAKE
Aliens spotted near Delhi border says viral post,FAKE
WhatsApp message claims currency notes will be banned tomorrow,FAKE
Parliament passes bill to improve digital education infrastructure,REAL
ISRO successfully launches new weather monitoring satellite,REAL
Government increases budget allocation for healthcare sector,REAL
RBI announces revised interest rates for savings accounts,REAL
Supreme Court issues new guidelines on environmental protection,REAL
